"","ideology","norm_news","norm_branches","norm_officials","norm_facts","egal_equalop","egal_worryless","egal_notbigprob","egal_fewerprobs","moraltrad_adjmoral","moraltrad_moretrad","auth_childind","auth_childcur","auth_childobed","auth_childconsid","education","sex","interest","econ_perc","age"
"1458",3,5,4,5,5,1,5,5,1,2,4,1,1,2,1,"Less than high school","Male","Very much interested","Somewhat worse off","30-49"
"1459",5,4,4,5,4,1,2,4,2,4,1,2,1,2,1,"Less than high school","Male","Very much interested","Somewhat better off","30-49"
"1460",6,3,4,5,1,4,1,2,3,3,1,2,2,1,2,"Less than high school","Male","Very much interested","About the same","65+"
"1461",6,3,5,5,4,3,2,5,1,5,1,2,2,2,1,"Less than high school","Female","Very much interested","Much better off","50-64"
"1462",6,1,5,4,3,3,2,5,5,5,1,2,1,2,1,"Less than high school","Male","Very much interested","About the same","50-64"
"1463",4,5,4,5,4,1,4,4,4,4,4,2,2,2,1,"Less than high school","Female","Very much interested","About the same","50-64"
"1464",2,5,5,5,5,2,5,4,2,3,4,1,1,2,1,"Less than high school","Female","Somewhat interested","Somewhat better off","30-49"
"1465",2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Female","Very much interested","About the same","30-49"
"1466",5,5,5,5,4,5,1,2,4,4,2,2,1,2,1,"Less than high school","Male","Very much interested","About the same","30-49"
"1467",2,5,5,5,5,2,4,2,3,2,5,1,1,2,1,"Less than high school","Male","Somewhat interested","About the same","30-49"
"1468",4,5,5,5,5,1,4,5,1,2,2,2,2,2,1,"Less than high school","Male","Very much interested","About the same","50-64"
"1469",6,1,5,5,5,1,1,5,2,4,1,2,2,1,1,"Less than high school","Female","Very much interested","Somewhat better off","50-64"
"1470",NA,3,3,4,3,2,3,4,2,3,4,2,2,1,2,"Less than high school","Male","Not much interested","About the same","18-29"
"1471",3,5,5,5,5,1,5,5,1,5,4,2,1,2,1,"Less than high school","Female","Very much interested","About the same","65+"
"1472",NA,5,5,5,5,1,1,5,1,1,1,2,2,1,2,"Less than high school","Female","Very much interested","Somewhat worse off","30-49"
"1473",NA,4,2,2,2,1,1,1,1,1,2,2,2,2,2,"Less than high school","Female","Somewhat interested","Much better off","30-49"
"1474",NA,4,5,5,5,1,1,1,4,3,3,2,2,2,1,"Less than high school","Male","Very much interested","About the same","18-29"
"1475",2,5,5,5,5,1,5,5,1,1,4,1,1,2,1,"Less than high school","Female","Very much interested","About the same","65+"
"1476",NA,3,4,5,5,1,5,3,1,2,3,1,2,2,1,"Less than high school","Female","Not much interested","About the same","18-29"
"1477",6,1,2,4,4,1,2,2,3,4,1,2,2,1,1,"Less than high school","Female","Somewhat interested","Somewhat better off","65+"
"1478",NA,5,5,4,4,1,4,4,2,1,4,1,1,2,1,"Less than high school","Male","Very much interested","Somewhat worse off","50-64"
